Player,bbref_id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Donovan Mitchell\mitchdo01,mitchdo01,PG,24,UTA,53,53,33.41509434,9.018867925,20.58490566,0.438130156,3.358490566,8.698113208,0.386117137,5.660377358,11.88679245,0.476190476,5.037735849,5.962264151,0.844936709,0.943396226,3.490566038,4.433962264,5.226415094,0.981132075,0.283018868,2.773584906,2.20754717,26.43396226
Adam Mokoka\mokokad01,mokokad01,SG,22,CHI,14,0,4,0.5,1.357142857,0.368421053,0.071428571,0.714285714,0.1,0.428571429,0.642857143,0.666666667,0,0.071428571,0,0.071428571,0.285714286,0.357142857,0.357142857,0.142857143,0.071428571,0.357142857,0.357142857,1.071428571
Malik Monk\monkma01,monkma01,SG,22,CHO,42,0,20.9047619,4.119047619,9.5,0.43358396,2.023809524,5.047619048,0.400943396,2.095238095,4.452380952,0.470588235,1.404761905,1.714285714,0.819444444,0.333333333,2.071428571,2.404761905,2.071428571,0.452380952,0.095238095,1.30952381,1.119047619,11.66666667
E'Twaun Moore\mooreet01,mooreet01,SG,31,PHO,27,1,14.40740741,2.037037037,4.481481481,0.454545455,0.407407407,1.296296296,0.314285714,1.62962963,3.185185185,0.511627907,0.444444444,0.518518519,0.857142857,0.518518519,1.148148148,1.666666667,1.481481481,0.555555556,0.185185185,0.851851852,1.185185185,4.925925926
Ja Morant\moranja01,moranja01,PG,21,MEM,63,63,32.58730159,6.825396825,15.19047619,0.449320794,1.158730159,3.825396825,0.302904564,5.666666667,11.36507937,0.498603352,4.301587302,5.904761905,0.728494624,0.936507937,3.063492063,4,7.380952381,0.904761905,0.206349206,3.222222222,1.380952381,19.11111111
Juwan Morgan\morgaju01,morgaju01,PF,23,UTA,29,0,5.068965517,0.482758621,1.034482759,0.466666667,0.137931034,0.448275862,0.307692308,0.344827586,0.586206897,0.588235294,0.103448276,0.24137931,0.428571429,0.310344828,0.655172414,0.965517241,0.310344828,0.137931034,0.034482759,0.137931034,0.724137931,1.206896552
Marcus Morris\morrima03,morrima03,PF,31,LAC,57,29,26.35087719,4.842105263,10.24561404,0.47260274,2.456140351,5.192982456,0.472972973,2.385964912,5.052631579,0.472222222,1.280701754,1.561403509,0.820224719,0.614035088,3.49122807,4.105263158,1.01754386,0.596491228,0.263157895,1,2.052631579,13.42105263
Markieff Morris\morrima02,morrima02,PF,31,LAL,61,27,19.67213115,2.508196721,6.196721311,0.404761905,1.06557377,3.426229508,0.311004785,1.442622951,2.770491803,0.520710059,0.590163934,0.819672131,0.72,0.786885246,3.573770492,4.360655738,1.196721311,0.360655738,0.31147541,0.885245902,1.721311475,6.672131148
Monte Morris\morrimo01,morrimo01,PG,25,DEN,47,13,25.44680851,3.957446809,8.234042553,0.480620155,1.085106383,2.85106383,0.380597015,2.872340426,5.382978723,0.533596838,1.234042553,1.553191489,0.794520548,0.234042553,1.808510638,2.042553191,3.191489362,0.723404255,0.276595745,0.723404255,1.021276596,10.23404255
Mychal Mulder\muldemy01,muldemy01,PG,26,GSW,60,6,12.76666667,1.983333333,4.416666667,0.449056604,1.416666667,3.566666667,0.397196262,0.566666667,0.85,0.666666667,0.233333333,0.366666667,0.636363636,0.133333333,0.866666667,1,0.433333333,0.2,0.2,0.266666667,0.933333333,5.616666667
